Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
15	A3	P8A1	Control.AT	0.023159991	0.130358895	0.245394573	0.354031845	0.465836643	0.56	0.82
84	C1	P8A1	Control.ET	0.057755993	0.218953528	0.354933344	0.508575464	0.657337648	0.67	0.79
84	C2	P8A1	Control.ET	0.057709345	0.08801748	0.095633052	0.11211036	0.130140669	0.66	0.81
84	C3	P8A1	Control.ET	0.057221461	0.211501092	0.358184816	0.508507788	0.656637933	0.66	0.81
84	C4	P8A1	Control.ET	0.057190484	0.068087303	0.097433489	0.115201071	0.133320573	0.63	0.79
18	A3	P8A1	Control.ET	0.037090141	0.131646506	0.250019828	0.353483738	0.462045212	0.51	0.83
80	C1	P8A1	EC.AT	0.046057167	0.207937354	0.370174242	0.525131202	0.690552878	0.7	0.81
80	C2	P8A1	EC.AT	0.045897768	0.210099054	0.367285939	0.52433366	0.678719196	0.66	0.80
80	C3	P8A1	EC.AT	0.045629306	0.275965527	0.509224719	0.728494861	0.9491992	0.64	0.82
80	C4	P8A1	EC.AT	0.045896924	0.212075017	0.366477574	0.524645812	0.687801024	0.63	0.81
14	A3	P8A1	EC.AT	0.01397061	0.114683391	0.234260864	0.353691878	0.47502526	0.59	0.80
83	C1	P8A1	EC.ET	0.053118268	0.255776097	0.453909206	0.661174998	0.868549245	0.73	0.81
83	C2	P8A1	EC.ET	0.05389321	0.18707551	0.35581271	0.50987019	0.66308776	0.71	0.80
83	C3	P8A1	EC.ET	0.052893508	0.20852042	0.363034153	0.502791904	0.652525222	0.64	0.81
83	C4	P8A1	EC.ET	0.052326104	0.066224736	0.096100388	0.11201032	0.133551946	0.64	0.80
17	A3	P8A1	EC.ET	0.033841952	0.139762366	0.251737892	0.349699782	0.451246997	0.63	0.82
97	B1	P8A5	AC.AT	0.102221972	0.102338936	0.103803073	0.104411188	0.104359024	0.63	0.82
97	B2	P8A5	AC.AT	0.101785729	0.116479734	0.114235319	0.106078004	0.101745674	0.63	0.79
97	B3	P8A5	AC.AT	0.101605938	0.213308436	0.32213471	0.429710161	0.534135242	0.61	0.83
97	B4	P8A5	AC.AT	0.10171778	0.101042138	0.106312462	0.108373084	0.115166673	0.61	0.81
13	A2	P8A5	AC.AT	0.010364009	0.138640204	0.243590719	0.355143572	0.46545834	0.58	0.82
100	B1	P8A5	AC.ET	0.110390366	0.266683434	0.397087794	0.532683004	0.673922708	0.61	0.81
100	B2	P8A5	AC.ET	0.110573861	0.101488936	0.102478839	0.107023878	0.103846287	0.63	0.81
100	B3	P8A5	AC.ET	0.109896318	0.119259106	0.107947682	0.10470319	0.102260909	0.62	0.83
100	B4	P8A5	AC.ET	0.110906803	0.240185831	0.388958212	0.528434721	0.664217432	0.66	0.83
16	A2	P8A5	AC.ET	0.029403026	0.134881003	0.247448902	0.349260719	0.457956094	0.59	0.83
99	B1	P8A5	Control.AT	0.107190362	0.227729573	0.37903108	0.506811081	0.643955643	0.61	0.82
99	B2	P8A5	Control.AT	0.107767851	0.112504594	0.10696727	0.106085622	0.107074828	0.55	0.80
99	B3	P8A5	Control.AT	0.106806083	0.101044912	0.107985732	0.106997037	0.105634166	0.54	0.83
99	B4	P8A5	Control.AT	0.107027371	0.234337071	0.37916998	0.508348021	0.640521089	0.52	0.82
15	A2	P8A5	Control.AT	0.023269894	0.133812557	0.244329781	0.352716678	0.465357345	0.54	0.81
102	B1	P8A5	Control.ET	0.118716598	0.242675846	0.378393727	0.523986486	0.662612872	0.69	0.80
102	B2	P8A5	Control.ET	0.118629947	0.101289986	0.112739521	0.10527141	0.103961432	0.68	0.82
102	B3	P8A5	Control.ET	0.117775019	0.305375365	0.47980759	0.652734395	0.823825402	0.66	0.80
102	B4	P8A5	Control.ET	0.118266474	0.108726528	0.11099245	0.106749201	0.106549048	0.68	0.80
