Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0	
13	C2	P17B6	AC.AT	0.006873898	0.121893088	0.23998006	0.354435356	0.473822866	0.61	0.81	
14	C2	P17B6	EC.AT	0.012304042	0.14996614	0.290406398	0.320156836	0.44851949	0.62	0.80	
15	C2	P17B6	Control.AT	0.018743659	0.130708804	0.246101071	0.351596077	0.466964312	0.56	0.82	
16	C2	P17B6	AC.ET	0.026707373	0.129678143	0.243045255	0.350159852	0.459527857	0.51	0.80	
17	C2	P17B6	EC.ET	0.032702667	0.14094407	0.240814003	0.350643649	0.452884662	0.66	0.79	
18	C2	P17B6	Control.ET	0.035234242	0.13393923	0.247835491	0.351727332	0.453064171	0.6	0.81	
67	A4	P17C2	AC.AT	0.004517259	0.163365188	0.343913127	0.508559893	0.677793307	0.59	0.80	
68	A4	P17C2	EC.AT	0.007651466	0.049510209	0.091834672	0.11881627	0.154824899	0.5	0.81	
69	A4	P17C2	Control.AT	0.011661785	0.056238602	0.09051241	0.121942678	0.150771942	0.64	0.81	
70	A4	P17C2	AC.ET	0.013890605	0.053469835	0.086341508	0.122019343	0.15251355	0.69	0.81	
71	A4	P17C2	EC.ET	0.017315564	0.183042457	0.340218753	0.513669429	0.674400804	0.67	0.80	
72	A4	P17C2	Control.ET	0.019880158	0.194158794	0.372195205	0.537541267	0.704957792	0.64	0.83	
67	A2	P17C4	AC.AT	0.004563948	0.172863161	0.337109189	0.504992347	0.675302937	0.69	0.83	
68	A2	P17C4	EC.AT	0.007761508	0.037935139	0.080526649	0.122251913	0.159089619	0.51	0.82	
69	A2	P17C4	Control.AT	0.012118644	0.045600658	0.088883211	0.119446058	0.152339313	0.65	0.82	
70	A2	P17C4	AC.ET	0.014327346	0.17899327	0.340919998	0.50402157	0.671413432	0.62	0.80	
71	A2	P17C4	EC.ET	0.017449704	0.186589366	0.33743958	0.504646983	0.6687223	0.59	0.82	
72	A2	P17C4	Control.ET	0.020159426	0.170252697	0.334038028	0.508409317	0.67259401	0.62	0.80	
31	C3	P17C5	AC.AT	0.084703475	0.306709333	0.552210835	0.775984154	1.00485237	0.58	0.83	
32	C3	P17C5	EC.AT	0.086868725	0.168355186	0.253910872	0.342137732	0.421944998	0.52	0.79	
33	C3	P17C5	Control.AT	0.089963351	0.304870006	0.494656978	0.71041384	0.914511288	0.59	0.80	
34	C3	P17C5	AC.ET	0.092569596	0.165961345	0.25851214	0.340163106	0.42647211	0.63	0.81	
35	C3	P17C5	EC.ET	0.094118509	0.183886732	0.26101547	0.337331315	0.418805184	0.63	0.82	
36	C3	P17C5	Control.ET	0.095842141	0.187135915	0.261610827	0.339711922	0.423354171	0.56	0.83	
55	A1	P17D2	AC.AT	0.161904232	0.213410314	0.269592029	0.327866953	0.384142311	0.69	0.82	
56	A1	P17D2	EC.AT	0.167308767	0.213063536	0.271641134	0.32706332	0.386327246	0.61	0.79	
57	A1	P17D2	Control.AT	0.170947042	0.22474494	0.271189648	0.328179484	0.379679528	0.61	0.80	
58	A1	P17D2	AC.ET	0.175336184	0.353645046	0.53133665	0.709523195	0.88946403	0.7	0.80	
59	A1	P17D2	EC.ET	0.178468486	0.217512942	0.274922079	0.329073266	0.383547266	0.67	0.80	
60	A1	P17D2	Control.ET	0.180687997	0.233090182	0.281890163	0.324712229	0.377675455	0.63	0.80	
19	B3	P18A4	AC.AT	0.039724921	0.133980236	0.24941466	0.350038262	0.460661261	0.58	0.82	
